SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_FOULS_PER36	FOULS_PER36	CHANGE_IN_FP36	COMBINED_MINUTES
460	02-NOV-12	Kendrick Perkins	4.64689758285571891353102417144281086469	0	-4.64689758285571891353102417144281086469	49
461	02-NOV-12	Thabo Sefolosha	2.35479632063074901445466491458607095926	4	1.64520367936925098554533508541392904074	45
462	02-NOV-12	Kevin Martin	2.22948328267477203647416413373860182371	2.48275862068965517241379310344827586207	0.25327533801488313593962896970967403836	62
463	02-NOV-12	Nick Collison	4.85021689206430211788721612656289869865	6.42857142857142857142857142857142857143	1.57835453650712645354135530200852987278	48
572	03-NOV-12	Ty Lawson	1.9582746704210930500447971329834890567	1.75609756097560975609756097560975609756	-0.20217710944548329394723615737373295914	79
573	03-NOV-12	Andre Iguodala	1.88356669123065585851142225497420781135	1.8	-0.08356669123065585851142225497420781135	76
574	03-NOV-12	Danilo Gallinari	1.90194884287454323995127892813641900122	0.972972972972972972972972972972972972972	-0.928975869901570266978305955163446028248	72
576	03-NOV-12	Kosta Koufos	4.35654596100278551532033426183844011142	5.14285714285714285714285714285714285714	0.78631118185435734182252288101870274572	41
575	03-NOV-12	Kenneth Faried	3.48996458087367178276269185360094451004	5	1.51003541912632821723730814639905548996	56
578	03-NOV-12	Corey Brewer	3.20522674865488086087624903920061491161	6.26086956521739130434782608695652173913	3.05564281656251044347157704775590682752	47
577	03-NOV-12	Andre Miller	2.77072643802322441263840129624628679449	1.28571428571428571428571428571428571429	-1.4850121523089386983526870105320010802	49
562	03-NOV-12	Paul George	2.73220469411312043093497499038091573682	2.25	-0.48220469411312043093497499038091573682	84
563	03-NOV-12	David West	3.0119142176330420969023034154090548054	0.765957446808510638297872340425531914894	-2.24595677082453145860443107498352289051	81
564	03-NOV-12	George Hill	2.27802086839447997307303938067990575564	0.7999999999999999999999999999999999999992	-1.47802086839447997307303938067990575564	79
566	03-NOV-12	Gerald Green	3.22623640827779726411785338477727113294	6	2.77376359172220273588214661522272886706	56
565	03-NOV-12	Roy Hibbert	4.32654257657921735307049684889344862963	1.67441860465116279069767441860465116279	-2.65212397192805456237282243028879746684	67
567	03-NOV-12	Lance Stephenson	2.91813023507160226965684950013509862199	2.25	-0.66813023507160226965684950013509862199	57
659	03-NOV-12	Gerald Henderson	2.34825597363361713814886020324086789343	1.8	-0.54825597363361713814886020324086789343	56
657	03-NOV-12	Kemba Walker	1.54551018623764973332167526449243682784	1.16129032258064516129032258064516129032	-0.38421986365700457203135268384727553752	64
656	03-NOV-12	Brendan Haywood	4.04	3.48387096774193548387096774193548387097	-0.55612903225806451612903225806451612903	62
655	03-NOV-12	Byron Mullens	3.39520958083832335329341317365269461078	2.25	-1.14520958083832335329341317365269461078	63
658	03-NOV-12	Michael Kidd-Gilchrist	2.8147278861669356021710429807833357782	1.33333333333333333333333333333333333333	-1.48139455283360226883770964745000244487	47
661	03-NOV-12	Ben Gordon	2.80283114256825075834175935288169868554	0	-2.80283114256825075834175935288169868554	41
660	03-NOV-12	Ramon Sessions	1.9821059876118375774260151410874053682	0	-1.9821059876118375774260151410874053682	49
692	03-NOV-12	Monta Ellis	2.40845070422535211267605633802816901408	0	-2.40845070422535211267605633802816901408	73
694	03-NOV-12	Tobias Harris	2.28979211914365497983245423518461061123	5.53846153846153846153846153846153846154	3.24866941931788348170600730327692785031	46
691	03-NOV-12	Brandon Jennings	2.08426483233018056749785038693035253654	0	-2.08426483233018056749785038693035253654	66
