SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_TRB_PER36	TRB_PER36	CHANGE_IN_TRBP36	COMBINED_MINUTES
263	01-NOV-12	Kawhi Leonard	7.37265350611602276856000968874894029309	4.5	-2.87265350611602276856000968874894029309	66
261	01-NOV-12	Danny Green	4.75565819861431870669745958429561200924	5.14285714285714285714285714285714285714	0.3871989442428241504453975585615308479	68
260	01-NOV-12	Boris Diaw	5.74573794447150511446663419386264003897	7.2	1.45426205552849488553336580613735996103	65
264	01-NOV-12	Stephen Jackson	4.81770284510010537407797681770284510011	8	3.18229715489989462592202318229715489989	52
457	02-NOV-12	Kevin Durant	7.67556909840473203082989783115253629683	14.23255813953488372093023255813953488372	6.55698904113015169010033472698699858689	84
458	02-NOV-12	Russell Westbrook	8.04134831460674157303370786516853932584	5.14285714285714285714285714285714285714	-2.8984911717495987158908507223113964687	72
459	02-NOV-12	Serge Ibaka	8.50339485512097159797264989958879219661	6.66666666666666666666666666666666666667	-1.83672818845430493130598323292212552994	58
460	02-NOV-12	Kendrick Perkins	9.01569897832045850984301021679541490157	5.14285714285714285714285714285714285714	-3.87284183546331565270015307393827204443	49
461	02-NOV-12	Thabo Sefolosha	6.09724047306176084099868593955321944809	6	-0.09724047306176084099868593955321944809	45
462	02-NOV-12	Kevin Martin	3.46048632218844984802431610942249240122	3.7241379310344827586206896551724137931	0.26365160884603291059637354574992139188	62
463	02-NOV-12	Nick Collison	8.12043888747129369737177851492727736668	6.42857142857142857142857142857142857143	-1.69186745889986512594320708635584879525	48
572	03-NOV-12	Ty Lawson	3.24843210034557788301548700883143478818	3.51219512195121951219512195121951219512	0.26376302160564162917963494238807740694	79
573	03-NOV-12	Andre Iguodala	5.20728497736603853037161806505947994526	4.5	-0.70728497736603853037161806505947994526	76
574	03-NOV-12	Danilo Gallinari	5.58526187576126674786845310596833130329	5.83783783783783783783783783783783783784	0.25257596207657108996938473186950653455	72
576	03-NOV-12	Kosta Koufos	11.06963788300835654596100278551532033426	10.28571428571428571428571428571428571429	-0.78392359729407083167528849980103461997	41
575	03-NOV-12	Kenneth Faried	11.78748524203069657615112160566706021251	12	0.21251475796930342384887839433293978749	56
578	03-NOV-12	Corey Brewer	4.10453497309761721752498078401229823213	7.82608695652173913043478260869565217391	3.72155198342412191290980182468335394178	47
577	03-NOV-12	Andre Miller	4.14150688630839859573318930596813394545	2.57142857142857142857142857142857142857	-1.57007831487982716716176073453956251688	49
562	03-NOV-12	Paul George	6.64524817237398999615236629472874182378	12.75	6.10475182762601000384763370527125817622	84
563	03-NOV-12	David West	8.18745035742652899126290706910246227164	13.78723404255319148936170212765957446808	5.59978368512666249809879505855711219644	81
564	03-NOV-12	George Hill	4.11578593066307640525075732076741837765	6.4	2.28421406933692359474924267923258162235	79
566	03-NOV-12	Gerald Green	4.3374254647492108032269379165205191161	4.5	0.1625745352507891967730620834794808839	56
565	03-NOV-12	Roy Hibbert	8.99076652498900776784405686648102007914	8.37209302325581395348837209302325581395	-0.61867350173319381435568477345776426519	67
567	03-NOV-12	Lance Stephenson	6.53661172656038908403134288030262091327	2.25	-4.28661172656038908403134288030262091327	57
659	03-NOV-12	Gerald Henderson	4.57291952760230705850041197473221642406	5.4	0.82708047239769294149958802526778357594	56
657	03-NOV-12	Kemba Walker	3.93774591238961266066276121360496633733	3.48387096774193548387096774193548387097	-0.45387494464767717679179347166948246636	64
656	03-NOV-12	Brendan Haywood	9.16	12.77419354838709677419354838709677419355	3.61419354838709677419354838709677419355	62
655	03-NOV-12	Byron Mullens	8.32634730538922155688622754491017964072	11.25	2.92365269461077844311377245508982035928	63
658	03-NOV-12	Michael Kidd-Gilchrist	7.91081120727592782749009828370250843479	6.66666666666666666666666666666666666667	-1.24414454060926116082343161703584176812	47
661	03-NOV-12	Ben Gordon	3.18503538928210313447927199191102123357	0	-3.18503538928210313447927199191102123357	41
660	03-NOV-12	Ramon Sessions	3.82794218857536132140399174122505161734	5.14285714285714285714285714285714285714	1.3149149542817815357388654016320912398	49
692	03-NOV-12	Monta Ellis	3.3098591549295774647887323943661971831	2	-1.3098591549295774647887323943661971831	73
694	03-NOV-12	Tobias Harris	6.90288551039404281725100837728824076947	8.30769230769230769230769230769230769231	1.40480679729826487505668393040406692284	46
