SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_FTP	FT_PERCENTAGE	CHANGE_IN_FTP	COMBINED_MINUTES
34069	21-DEC-13	Kyle Singler	78.85196374622356495468277945619335347432	100	21.14803625377643504531722054380664652568	57
34033	21-DEC-13	Isaiah Thomas	88.06818181818181818181818181818181818182	100	11.93181818181818181818181818181818181818	79
34034	21-DEC-13	Rudy Gay	82.3767178658043654001616814874696847211	100	17.6232821341956345998383185125303152789	74
34037	21-DEC-13	Ben McLemore	79.66101694915254237288135593220338983051	50	-29.66101694915254237288135593220338983051	50
34036	21-DEC-13	DeMarcus Cousins	75.01973164956590370955011838989739542226	44.44444444444444444444444444444444444444	-30.57528720512145926510567394545295097782	69
34035	21-DEC-13	Jason Thompson	63.72315035799522673031026252983293556086	50	-13.72315035799522673031026252983293556086	59
34054	21-DEC-13	Chandler Parsons	71.03918228279386712095400340715502555366	100	28.96081771720613287904599659284497444634	76
34055	21-DEC-13	Dwight Howard	51.75624206517139229792636479052052475667	64.28571428571428571428571428571428571429	12.52947222054289341635934949519376095762	71
34058	21-DEC-13	Patrick Beverley	77.02265372168284789644012944983818770227	100	22.97734627831715210355987055016181229773	45
34056	21-DEC-13	Francisco Garcia	68.96551724137931034482758620689655172414	0	-68.96551724137931034482758620689655172414	59
34060	21-DEC-13	Omri Casspi	69.69026548672566371681415929203539823009	100	30.30973451327433628318584070796460176991	52
34059	21-DEC-13	Aaron Brooks	80.23598820058997050147492625368731563422	100	19.76401179941002949852507374631268436578	52
34139	21-DEC-13	Monta Ellis	76.63896583564173591874422899353647276085	60	-16.63896583564173591874422899353647276085	83
34142	21-DEC-13	Dirk Nowitzki	88.28654404646660212971926427879961277832	100	11.71345595353339787028073572120038722168	73
34144	21-DEC-13	Brandan Wright	69.07894736842105263157894736842105263158	75	5.92105263157894736842105263157894736842	55
34145	21-DEC-13	Vince Carter	79.62962962962962962962962962962962962963	75	-4.62962962962962962962962962962962962963	43
34153	21-DEC-13	Goran Dragić	76.96414950419527078565980167810831426392	100	23.03585049580472921434019832189168573608	72
34152	21-DEC-13	Eric Bledsoe	80.92105263157894736842105263157894736842	100	19.07894736842105263157894736842105263158	67
34156	21-DEC-13	P.J. Tucker	76.66666666666666666666666666666666666667	66.66666666666666666666666666666666666667	-10	51
34155	21-DEC-13	Channing Frye	85.0515463917525773195876288659793814433	100	14.9484536082474226804123711340206185567	47
34158	21-DEC-13	Markieff Morris	78.4	50	-28.4	58
34157	21-DEC-13	Gerald Green	81.85941043083900226757369614512471655329	100	18.14058956916099773242630385487528344671	56
34203	21-DEC-13	Ty Lawson	77.33990147783251231527093596059113300493	100	22.66009852216748768472906403940886699507	67
34204	21-DEC-13	Wilson Chandler	74.5318352059925093632958801498127340824	50	-24.5318352059925093632958801498127340824	62
34205	21-DEC-13	J.J. Hickson	56.06276747503566333808844507845934379458	0	-56.06276747503566333808844507845934379458	49
34184	21-DEC-13	Jodie Meeks	88.67562380038387715930902111324376199616	80	-8.67562380038387715930902111324376199616	75
34183	21-DEC-13	Xavier Henry	61.46788990825688073394495412844036697248	90	28.53211009174311926605504587155963302752	78
34182	21-DEC-13	Wes Johnson	73.74517374517374517374517374517374517375	100	26.25482625482625482625482625482625482625	69
34187	21-DEC-13	Nick Young	82.85229202037351443123938879456706281834	75	-7.85229202037351443123938879456706281834	62
34229	22-DEC-13	Brandon Bass	84.17721518987341772151898734177215189873	100	15.82278481012658227848101265822784810127	60
34228	22-DEC-13	Jeff Green	81.48148148148148148148148148148148148148	100	18.51851851851851851851851851851851851852	60
34231	22-DEC-13	Jared Sullinger	73.24561403508771929824561403508771929825	0	-73.24561403508771929824561403508771929825	47
34262	22-DEC-13	Kevin Durant	88.88888888888888888888888888888888888889	100	11.11111111111111111111111111111111111111	75
34263	22-DEC-13	Russell Westbrook	81.49028933808957590170432025366627031312	90.90909090909090909090909090909090909091	9.41880157100133318920477065542463877779	69
34268	22-DEC-13	Reggie Jackson	86.19302949061662198391420911528150134048	100	13.80697050938337801608579088471849865952	51
34285	22-DEC-13	Blake Griffin	70.92316196793808734107241569928137092316	90.90909090909090909090909090909090909091	19.98592894115282174983667520980953816775	77
34284	22-DEC-13	Jamal Crawford	88.63198458574181117533718689788053949904	0	-88.63198458574181117533718689788053949904	73
34283	22-DEC-13	Chris Paul	88.2763975155279503105590062111801242236	87.5	-0.7763975155279503105590062111801242236	73
34286	22-DEC-13	Jared Dudley	72.0461095100864553314121037463976945245	66.66666666666666666666666666666666666667	-5.37944284341978866474543707973102785783	66
34288	22-DEC-13	Darren Collison	86.74157303370786516853932584269662921348	50	-36.74157303370786516853932584269662921348	50
34355	23-DEC-13	Lance Stephenson	67.87762906309751434034416826003824091778	100	32.12237093690248565965583173996175908222	74
34356	23-DEC-13	Paul George	84.88135593220338983050847457627118644068	100	15.11864406779661016949152542372881355932	66
34359	23-DEC-13	George Hill	79.13279132791327913279132791327913279133	100	20.86720867208672086720867208672086720867	51
34357	23-DEC-13	Roy Hibbert	78.40579710144927536231884057971014492754	100	21.59420289855072463768115942028985507246	55
34358	23-DEC-13	David West	76.51195499296765119549929676511954992968	50	-26.51195499296765119549929676511954992968	51
34362	23-DEC-13	Ian Mahinmi	56.10142630744849445324881141045958795563	100	43.89857369255150554675118858954041204437	41
34360	23-DEC-13	C.J. Watson	80.06756756756756756756756756756756756757	100	19.93243243243243243243243243243243243243	40
34436	23-DEC-13	DeMar DeRozan	83.69609856262833675564681724845995893224	100	16.30390143737166324435318275154004106776	74
34435	23-DEC-13	Kyle Lowry	81.14525139664804469273743016759776536313	100	18.85474860335195530726256983240223463687	76
34439	23-DEC-13	Jonas Valan�?iūnas	77.7670837343599615014436958614051973051	0	-77.7670837343599615014436958614051973051	62
34438	23-DEC-13	Amir Johnson	65.66901408450704225352112676056338028169	50	-15.66901408450704225352112676056338028169	61
34669	26-DEC-13	James Harden	86.06168446026097271648873072360616844603	88	1.93831553973902728351126927639383155397	86
34671	26-DEC-13	Terrence Jones	60.93023255813953488372093023255813953488	0	-60.93023255813953488372093023255813953488	73
34668	26-DEC-13	Chandler Parsons	71.03918228279386712095400340715502555366	83.33333333333333333333333333333333333333	12.29415105053946621237932992617830777967	84
34670	26-DEC-13	Jeremy Lin	81.08695652173913043478260869565217391304	100	18.91304347826086956521739130434782608696	71
