SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_TURNOVERS_PER36	TURNOVERS_PER36	CHANGE_IN_TP36	COMBINED_MINUTES
696	03-NOV-12	Mike Dunleavy	1.32721712538226299694189602446483180428	1.02857142857142857142857142857142857143	-0.29864569681083442551332459589340323285	58
698	03-NOV-12	Ekpe Udoh	1.45990783410138248847926267281105990783	1.56521739130434782608695652173913043478	0.10530955720296533760769384892807052695	46
697	03-NOV-12	Larry Sanders	1.60105680317040951122853368560105680317	1.2	-0.40105680317040951122853368560105680317	52
530	03-NOV-12	Rajon Rondo	3.57769516728624535315985130111524163569	1.8	-1.77769516728624535315985130111524163569	81
534	03-NOV-12	Courtney Lee	1.23993660855784469096671949286846275753	0	-1.23993660855784469096671949286846275753	62
531	03-NOV-12	Paul Pierce	2.33941368078175895765472312703583061889	2.05714285714285714285714285714285714286	-0.28227082363890181479758026989297347603	63
535	03-NOV-12	Brandon Bass	1.47913669064748201438848920863309352518	0	-1.47913669064748201438848920863309352518	55
533	03-NOV-12	Kevin Garnett	1.82594767752269087026161238654564869194	1.24137931034482758620689655172413793104	-0.5845683671778632840547158348215107609	55
537	03-NOV-12	Jeff Green	1.72845786963434022257551669316375198728	2.25	0.52154213036565977742448330683624801272	43
536	03-NOV-12	Jason Terry	1.59625090122566690699351117519826964672	2.11764705882352941176470588235294117647	0.52139615759786250477119470715467152975	42
532	03-NOV-12	Jared Sullinger	1.77072876932342903031519775145553101787	1.2	-0.57072876932342903031519775145553101787	48
624	03-NOV-12	Joakim Noah	2.38072012623726868455027973031128962846	1.67441860465116279069767441860465116279	-0.70630152158610589385260531170663846567	75
623	03-NOV-12	Luol Deng	1.55241322893537454715437653383195044992	1.67441860465116279069767441860465116279	0.12200537571578824354329788477270071287	74
627	03-NOV-12	Richard Hamilton	2.90257558790593505039193729003359462486	3.78947368421052631578947368421052631579	0.88689809630459126539753639417693169093	46
625	03-NOV-12	Carlos Boozer	2.21109123434704830053667262969588550984	2.76923076923076923076923076923076923077	0.55813953488372093023255813953488372093	53
626	03-NOV-12	Kirk Hinrich	1.91084387310802405142027783537217499482	3	1.08915612689197594857972216462782500518	41
629	03-NOV-12	Nate Robinson	2.32217130771942192456820585125132181882	1.5	-0.82217130771942192456820585125132181882	51
628	03-NOV-12	Marco Belinelli	1.52453825857519788918205804749340369393	1.24137931034482758620689655172413793104	-0.28315894823037030297516149576926576289	50
681	03-NOV-12	Anderson Varejao	1.63522884882108183079056865464632454924	0	-1.63522884882108183079056865464632454924	66
683	03-NOV-12	Kyrie Irving	2.79459056543499094878074752422532211692	4.36363636363636363636363636363636363636	1.56904579820137268758288883941104151944	63
682	03-NOV-12	Alonzo Gee	1.54945054945054945054945054945054945055	3	1.45054945054945054945054945054945054945	61
685	03-NOV-12	Dion Waiters	2.27006369426751592356687898089171974522	3.7241379310344827586206896551724137931	1.45407423676696683505381067428069404788	54
684	03-NOV-12	Tristan Thompson	1.32387096774193548387096774193548387097	0	-1.32387096774193548387096774193548387097	54
686	03-NOV-12	Daniel Gibson	1.30813953488372093023255813953488372093	0	-1.30813953488372093023255813953488372093	42
647	03-NOV-12	James Harden	4.22486067361279379694693481948146353283	4.3902439024390243902439024390243902439	0.16538322882623059329696761954292671107	81
649	03-NOV-12	Jeremy Lin	2.98940827566727863296144612342889422398	2.91891891891891891891891891891891891892	-0.07048935674835971404252720450997530506	77
650	03-NOV-12	Omer Asik	1.97585071350164654226125137211855104281	4.11428571428571428571428571428571428571	2.1384350007840677434530343421671632429	70
646	03-NOV-12	Chandler Parsons	1.69667673716012084592145015105740181269	2.29787234042553191489361702127659574468	0.60119560326541106897216687021919393199	78
648	03-NOV-12	Patrick Patterson	1.15126163810551882337066522736472810687	0.9473684210526315789473684210526315789468	-0.2038932170528872444232968063120965279232	67
651	03-NOV-12	Carlos Delfino	1.39579967689822294022617124394184168013	0	-1.39579967689822294022617124394184168013	46
581	03-NOV-12	LeBron James	3.57043954274673965545000805023345677024	0	-3.57043954274673965545000805023345677024	76
582	03-NOV-12	Dwyane Wade	3.25029914065049494180354617643859458283	1.05882352941176470588235294117647058823	-2.1914756112387302359211932352621239946	69
580	03-NOV-12	Chris Bosh	1.76613995485327313769751693002257336343	1.84615384615384615384615384615384615385	0.08001389130057301614863691613127279042	66
584	03-NOV-12	Shane Battier	0.6810810810810810810810810810810810810804	0	-0.6810810810810810810810810810810810810804	45
583	03-NOV-12	Mario Chalmers	2.61247484909456740442655935613682092555	2.11764705882352941176470588235294117647	-0.49482779027103799266185347378387974908	54
585	03-NOV-12	Ray Allen	1.75693779904306220095693779904306220096	1.24137931034482758620689655172413793104	-0.51555848869823461475004124731892426992	56
