SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_FTR	FT_RATE	CHANGE_IN_FTR	COMBINED_MINUTES
23358	03-APR-13	Carmelo Anthony	29.46655376799322607959356477561388653683	22.22222222222222222222222222222222222222	-7.24433154577100385737134255339166431461	81
23359	03-APR-13	Raymond Felton	16.99916874480465502909393183707398171239	0	-16.99916874480465502909393183707398171239	74
23360	03-APR-13	Tyson Chandler	57.9741379310344827586206896551724137931	0	-57.9741379310344827586206896551724137931	48
23361	03-APR-13	Iman Shumpert	16.74608577263444520081688223281143635126	0	-16.74608577263444520081688223281143635126	46
23363	03-APR-13	J.R. Smith	13.72271051885455060958321519705131840091	26.66666666666666666666666666666666666667	12.94395614781211605708345146961534826576	61
23364	03-APR-13	Jason Kidd	9.41558441558441558441558441558441558442	0	-9.41558441558441558441558441558441558442	57
23613	04-APR-13	MarShon Brooks	32.03125	50	17.96875	47
23607	04-APR-13	Reggie Evans	85.92233009708737864077669902912621359223	0	-85.92233009708737864077669902912621359223	62
23605	04-APR-13	Deron Williams	28.82051282051282051282051282051282051282	81.25	52.42948717948717948717948717948717948718	67
23606	04-APR-13	Brook Lopez	32.71747498075442648190916089299461123941	52.63157894736842105263157894736842105263	19.91410396661399457072241805437380981322	63
23610	04-APR-13	Keith Bogans	6.54205607476635514018691588785046728972	0	-6.54205607476635514018691588785046728972	42
23642	04-APR-13	Nando De Colo	18.38235294117647058823529411764705882353	0	-18.38235294117647058823529411764705882353	52
23637	04-APR-13	Danny Green	10.89341692789968652037617554858934169279	0	-10.89341692789968652037617554858934169279	58
23640	04-APR-13	Boris Diaw	17.04063068526379624014554275318374772589	0	-17.04063068526379624014554275318374772589	53
23636	04-APR-13	Tim Duncan	33.54158531823506442795782897305739945334	31.57894736842105263157894736842105263158	-1.96263794981401179637888160463634682176	49
23641	04-APR-13	Gary Neal	20.48022598870056497175141242937853107345	27.27272727272727272727272727272727272727	6.79250128402670775552131484334874165382	59
23638	04-APR-13	Tiago Splitter	42.87011807447774750227066303360581289737	28.57142857142857142857142857142857142857	-14.2986895030491760736992344621772414688	45
23629	04-APR-13	Danilo Gallinari	47.69857433808553971486761710794297352342	85.71428571428571428571428571428571428571	38.01571137620017457084666860634274076229	49
23625	04-APR-13	Andre Iguodala	27.09705753184014053579270970575318401405	15.38461538461538461538461538461538461538	-11.71244214722475592040809432113779939867	73
23627	04-APR-13	Andre Miller	29.97858672376873661670235546038543897216	33.33333333333333333333333333333333333333	3.35474660956459671663097787294789436117	60
23626	04-APR-13	Kenneth Faried	39.35681470137825421133231240428790199081	72.72727272727272727272727272727272727273	33.37045802589447306139496032298482528192	64
23628	04-APR-13	Kosta Koufos	21.15895800106326422115895800106326422116	0	-21.15895800106326422115895800106326422116	45
23630	04-APR-13	Corey Brewer	26.63447251114413075780089153046062407132	47.05882352941176470588235294117647058824	20.42435101826763394808146141071584651692	63
23631	04-APR-13	Wilson Chandler	19.44646758922068463219227967953386744355	0	-19.44646758922068463219227967953386744355	46
23632	04-APR-13	Evan Fournier	26.60487469962238242361826295914864400961	16.66666666666666666666666666666666666667	-9.93820803295571575695159629248197734294	40
23744	05-APR-13	Carlos Boozer	21.20418848167539267015706806282722513089	0	-21.20418848167539267015706806282722513089	84
23742	05-APR-13	Jimmy Butler	49.45226917057902973395931142410015649452	15.38461538461538461538461538461538461538	-34.06765378596364511857469603948477187914	86
23743	05-APR-13	Luol Deng	26.71885636487406398910823689584751531654	38.88888888888888888888888888888888888889	12.17003252401482489978065199304137357235	83
23746	05-APR-13	Nazr Mohammed	22.04724409448818897637795275590551181102	66.66666666666666666666666666666666666667	44.61942257217847769028871391076115485565	68
23745	05-APR-13	Kirk Hinrich	18.01140994295028524857375713121434392828	11.11111111111111111111111111111111111111	-6.90029883183917413746264602010323281717	67
23747	05-APR-13	Nate Robinson	20.3597710547833197056418642681929681112	0	-20.3597710547833197056418642681929681112	50
23815	05-APR-13	Dirk Nowitzki	23.89544297941244506130002313208420078649	21.42857142857142857142857142857142857143	-2.46687155084101648987145170351277221506	64
23814	05-APR-13	Shawn Marion	11.87214611872146118721461187214611872146	23.52941176470588235294117647058823529412	11.65726564598442116572656459844211657266	61
23817	05-APR-13	Mike James	18.26280623608017817371937639198218262806	66.66666666666666666666666666666666666667	48.40386043058648849294729027468448403861	43
23816	05-APR-13	Chris Kaman	16.33165829145728643216080402010050251256	0	-16.33165829145728643216080402010050251256	46
23813	05-APR-13	O.J. Mayo	19.54964176049129989764585465711361310133	22.22222222222222222222222222222222222222	2.67258046173092232457636756510860912089	58
23818	05-APR-13	Darren Collison	29.59760558696375124709012304622547389425	40	10.40239441303624875290987695377452610575	60
23819	05-APR-13	Vince Carter	21.99592668024439918533604887983706720978	0	-21.99592668024439918533604887983706720978	52
23820	05-APR-13	Brandan Wright	28.57142857142857142857142857142857142857	14.28571428571428571428571428571428571429	-14.28571428571428571428571428571428571428	50
23770	05-APR-13	Kevin Durant	40.95940959409594095940959409594095940959	33.33333333333333333333333333333333333333	-7.62607626076260762607626076260762607626	79
23771	05-APR-13	Russell Westbrook	39.05572755417956656346749226006191950464	25	-14.05572755417956656346749226006191950464	69
23772	05-APR-13	Serge Ibaka	17.40523224773091297383876134543513080619	22.22222222222222222222222222222222222222	4.81698997449130924838346087678709141603	62
