SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_THREE_ATT_PER36	THREE_ATT_PER36	CHANGE_IN_THPAP36	COMBINED_MINUTES
138694	15-DEC-17	Ersan Ilyasova	4.86176836861768368617683686176836861768	3.48387096774193548387096774193548387097	-1.37789740087574820230586911983288474671	58
138695	15-DEC-17	Miles Plumlee	0	0	0	45
138692	15-DEC-17	Taurean Prince	5.70731707317073170731707317073170731707	8	2.29268292682926829268292682926829268293	59
138693	15-DEC-17	Kent Bazemore	4.7937007874015748031496062992125984252	8.72727272727272727272727272727272727273	3.93357193987115246957766642806012884753	56
138696	15-DEC-17	John Collins	1.01946902654867256637168141592920353982	0	-1.01946902654867256637168141592920353982	44
138672	15-DEC-17	Rondae Hollis-Jefferson	1.12649800266311584553928095872170439414	0	-1.12649800266311584553928095872170439414	58
138671	15-DEC-17	Spencer Dinwiddie	5.28933657519972212573810350816255644321	3.27272727272727272727272727272727272727	-2.01660930247244939846537623543528371594	57
138670	15-DEC-17	Caris LeVert	4.9904397705544933078393881453154875717	4.15384615384615384615384615384615384615	-0.83659361670833946168554199146933372555	54
138669	15-DEC-17	Joe Harris	6.41095890410958904109589041095890410959	4.8	-1.61095890410958904109589041095890410959	52
138869	16-DEC-17	James Johnson	2.92121212121212121212121212121212121212	12	9.07878787878787878787878787878787878788	40
138867	16-DEC-17	Dion Waiters	4.61808917197452229299363057324840764331	7.2	2.58191082802547770700636942675159235669	64
138865	16-DEC-17	Josh Richardson	4.30626702997275204359673024523160762943	8	3.69373297002724795640326975476839237057	69
138868	16-DEC-17	Goran Dragić	3.85770750988142292490118577075098814229	3.6	-0.25770750988142292490118577075098814229	56
138866	16-DEC-17	Kelly Olynyk	4.56980703745743473325766174801362088536	4.23529411764705882352941176470588235294	-0.33451291981037590972824998330773853242	59
138872	16-DEC-17	Tyler Johnson	4.14876437484707609493516026425250795204	6	1.85123562515292390506483973574749204796	50
138873	16-DEC-17	Wayne Ellington	7.07730441518202943454686289697908597986	10.5	3.42269558481797056545313710302091402014	49
