SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_TWO_ATT_PER36	TWO_ATT_PER36	CHANGE_IN_TPAP36	COMBINED_MINUTES
264	01-NOV-12	Stephen Jackson	5.38672286617492096944151738672286617492	6.66666666666666666666666666666666666667	1.27994380049174569722514927994380049175	52
457	02-NOV-12	Kevin Durant	12.72808747087291629324251658003226384657	9.20930232558139534883720930232558139535	-3.51878514529152094440530727770668245122	84
458	02-NOV-12	Russell Westbrook	16.13447191011235955056179775280898876405	22.62857142857142857142857142857142857143	6.49409951845906902086677367576243980738	72
459	02-NOV-12	Serge Ibaka	10.30391125561824615090370087023046762934	14.66666666666666666666666666666666666667	4.36275541104842051576296579643619903733	58
460	02-NOV-12	Kendrick Perkins	5.99252429603787690007475703962123099925	3.42857142857142857142857142857142857143	-2.56395286746644832864618561104980242782	49
461	02-NOV-12	Thabo Sefolosha	5.00919842312746386333771353482260183969	6	0.99080157687253613666228646517739816031	45
462	02-NOV-12	Kevin Martin	9.85486322188449848024316109422492401216	9.93103448275862068965517241379310344828	0.07617126087412220941201131956817943612	62
463	02-NOV-12	Nick Collison	6.29242153610614952794080122480224547078	7.71428571428571428571428571428571428571	1.42186417817956475777348448948346881493	48
572	03-NOV-12	Ty Lawson	9.24766414949443235632919493152438243952	13.17073170731707317073170731707317073171	3.92306755782264081440251238554878829219	79
573	03-NOV-12	Andre Iguodala	5.38161911780187388146120644278345088957	9	3.61838088219812611853879355721654911043	76
574	03-NOV-12	Danilo Gallinari	7.77222898903775883069427527405602923264	7.78378378378378378378378378378378378378	0.01155479474602495308950850972775455114	72
576	03-NOV-12	Kosta Koufos	10.47910863509749303621169916434540389972	10.28571428571428571428571428571428571429	-0.19339434938320732192598487863111818543	41
575	03-NOV-12	Kenneth Faried	12.26446280991735537190082644628099173554	15	2.73553719008264462809917355371900826446	56
578	03-NOV-12	Corey Brewer	8.38893159108378170637970791698693312836	4.69565217391304347826086956521739130435	-3.69327941717073822811883835176954182401	47
577	03-NOV-12	Andre Miller	8.12746421820145827707264380232244126384	12.85714285714285714285714285714285714286	4.72967863894139886578449905482041587902	49
562	03-NOV-12	Paul George	10.22931896883416698730280877260484801847	6	-4.22931896883416698730280877260484801847	84
563	03-NOV-12	David West	12.64336775218427323272438443208895949166	15.31914893617021276595744680851063829787	2.67578118398593953323306237642167880621	81
564	03-NOV-12	George Hill	6.85425782564792998990238976775496465836	12	5.14574217435207001009761023224503534164	79
566	03-NOV-12	Gerald Green	7.71518765345492809540512101017186951947	9	1.28481234654507190459487898982813048053	56
565	03-NOV-12	Roy Hibbert	11.22790561336655430162685035907958376081	9.20930232558139534883720930232558139535	-2.01860328778515895278964105675400236546	67
567	03-NOV-12	Lance Stephenson	8.73007295325587679005674142123750337747	9	0.26992704674412320994325857876249662253	57
659	03-NOV-12	Gerald Henderson	11.04916231804449327107937379840703103543	16.2	5.15083768195550672892062620159296896457	56
657	03-NOV-12	Kemba Walker	10.98539826877677712686893416105622103699	8.12903225806451612903225806451612903226	-2.85636601071226099783667609654009200473	64
656	03-NOV-12	Brendan Haywood	6.48	15.09677419354838709677419354838709677419	8.61677419354838709677419354838709677419	62
655	03-NOV-12	Byron Mullens	8.73053892215568862275449101796407185629	11.25	2.51946107784431137724550898203592814371	63
658	03-NOV-12	Michael Kidd-Gilchrist	10.08126741968607892034619334017896435382	10.66666666666666666666666666666666666667	0.58539924698058774632047332648770231285	47
661	03-NOV-12	Ben Gordon	9.8645096056622851365015166835187057634	9.47368421052631578947368421052631578948	-0.39082539513596934702783247299238997392	41
660	03-NOV-12	Ramon Sessions	10.13971094287680660701995870612525808672	12.85714285714285714285714285714285714286	2.71743191426605053583718415101759905614	49
692	03-NOV-12	Monta Ellis	11.77816901408450704225352112676056338028	15	3.22183098591549295774647887323943661972	73
694	03-NOV-12	Tobias Harris	10.41390009308098045299410487123797704002	5.53846153846153846153846153846153846154	-4.87543855461944199145564333277643857848	46
