SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_FT_ATT_PER36	FT_ATT_PER36	CHANGE_IN_FTAP36	COMBINED_MINUTES
82212	25-NOV-15	Dirk Nowitzki	3.91989037630441657004321703383577527142	3.08571428571428571428571428571428571429	-0.83417609059013085575750274812148955713	64
82213	25-NOV-15	Zaza Pachulia	3.9242782773308092759110269758637008992	3.42857142857142857142857142857142857143	-0.49570684875938070448245554729227232777	49
82216	25-NOV-15	Jose Barea	2.44203821656050955414012738853503184713	0	-2.44203821656050955414012738853503184713	40
82209	25-NOV-15	Raymond Felton	2.08584785380365490862728431789205269868	0	-2.08584785380365490862728431789205269868	60
82133	25-NOV-15	Matt Barnes	1.91034296516338104239805563056980826357	1.16129032258064516129032258064516129032	-0.74905264258273588110773304992464697325	69
82130	25-NOV-15	Marc Gasol	4.92402234636871508379888268156424581006	1.84615384615384615384615384615384615385	-3.07786850021486892995272883541039965621	75
82132	25-NOV-15	Jeff Green	4.01780604133545310015898251192368839428	11.25	7.23219395866454689984101748807631160572	67
82134	25-NOV-15	Tony Allen	2.83103654883163571000599161174355901738	0	-2.83103654883163571000599161174355901738	59
82131	25-NOV-15	Mike Conley	4.33497536945812807881773399014778325123	4.36363636363636363636363636363636363636	0.02866099417823555754590237348858038513	63
82136	25-NOV-15	Mario Chalmers	3.52515090543259557344064386317907444668	3.13043478260869565217391304347826086957	-0.39471612282389992126673081970081357711	44
82135	25-NOV-15	Courtney Lee	1.88652931854199683042789223454833597464	2.66666666666666666666666666666666666667	0.78013734812466983623877443211833069203	45
82263	25-NOV-15	Blake Griffin	6.91264197006687188196582103810635813608	4.61538461538461538461538461538461538462	-2.29725735468225649735043642272174275146	72
82264	25-NOV-15	Chris Paul	4.69787234042553191489361702127659574468	2.05714285714285714285714285714285714286	-2.64072948328267477203647416413373860182	63
82266	25-NOV-15	J.J. Redick	3.44668207329151535160118851105975569495	0	-3.44668207329151535160118851105975569495	49
82265	25-NOV-15	DeAndre Jordan	5.81523323615160349854227405247813411079	4.5	-1.31523323615160349854227405247813411079	59
82267	25-NOV-15	Wes Johnson	1.33409643725854914866218343110602375161	0	-1.33409643725854914866218343110602375161	45
