SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_POINTS_PER36	POINTS_PER36	CHANGE_IN_PP36	COMBINED_MINUTES
1710	10-NOV-12	Nick Young	18.03249630723781388478581979320531757755	18	-0.03249630723781388478581979320531757755	50
1711	10-NOV-12	Spencer Hawes	14.23341272541680843824430078257910854032	18.78260869565217391304347826086956521739	4.54919597023536547479917747829045667707	45
1725	10-NOV-12	A.J. Price	12.46463142218912881608339538346984363366	11.67567567567567567567567567567567567567	-0.78895574651345314040771970779416795799	73
1726	10-NOV-12	Bradley Beal	19.72361860181133611478579424035819680472	17.48571428571428571428571428571428571429	-2.23790431609705040050007995464391109043	69
1727	10-NOV-12	Emeka Okafor	13.32185886402753872633390705679862306368	18.54545454545454545454545454545454545455	5.22359568142700672821154748865592239087	68
1728	10-NOV-12	Trevor Booker	11.94747081712062256809338521400778210117	11.61290322580645161290322580645161290323	-0.33456759131417095519015940755616919794	58
1729	10-NOV-12	Trevor Ariza	12.96517412935323383084577114427860696517	5.53846153846153846153846153846153846154	-7.42671259089169536930730960581706850363	58
1736	10-NOV-12	Paul George	21.50788764909580607926125432858791843016	19.45945945945945945945945945945945945946	-2.0484281896363466198017948691284589707	72
1737	10-NOV-12	David West	15.70293884034948371723590150913423351867	11.31428571428571428571428571428571428571	-4.38865312606376943152161579484851923296	72
1738	10-NOV-12	George Hill	14.6617300572197913160552002692696061932	8.22857142857142857142857142857142857143	-6.43315862864836274462662884069817762177	70
1739	10-NOV-12	Lance Stephenson	13.36990002701972439881113212645231018643	13.93548387096774193548387096774193548387	0.56558384394801753667273884128962529744	51
1740	10-NOV-12	Roy Hibbert	12.97962772973765205921149054668034588891	9.69230769230769230769230769230769230769	-3.28732003742995975151918285437265358122	54
1741	10-NOV-12	Gerald Green	17.79165205191160996141704665029814100316	19.28571428571428571428571428571428571429	1.49406223380267575286866763541614471113	58
