SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_BLOCKS_PER36	BLOCKS_PER36	CHANGE_IN_BP36	COMBINED_MINUTES
872	05-NOV-12	Thaddeus Young	0.5488406061712616395837137118860690158844	0	-0.5488406061712616395837137118860690158844	65
878	05-NOV-12	Lavoy Allen	1.12003363464368299348328778642001261299	2.25	1.12996636535631700651671221357998738701	42
871	05-NOV-12	Dorell Wright	0.7665847665847665847665847665847665847668	1.05882352941176470588235294117647058823	0.2922387628269981211157681745917040034632	67
875	05-NOV-12	Nick Young	0.2895125553914327917282127031019202363368	0	-0.2895125553914327917282127031019202363368	61
859	05-NOV-12	Carmelo Anthony	0.5444110412681060399016124624214266192944	1.2	0.6555889587318939600983875375785733807056	69
861	05-NOV-12	Raymond Felton	0.377390565235869103272418189545261368466	0	-0.377390565235869103272418189545261368466	53
858	05-NOV-12	Ronnie Brewer	0.2371541501976284584980237154150197628458	0	-0.2371541501976284584980237154150197628458	59
862	05-NOV-12	Jason Kidd	0.4827586206896551724137931034482758620696	0	-0.4827586206896551724137931034482758620696	43
860	05-NOV-12	Tyson Chandler	1.2317624273724983860555196901226597805	1.28571428571428571428571428571428571429	0.05395185834178732823019459559162593379	49
863	05-NOV-12	J.R. Smith	0.2889607005107891170645262170332534139477	1.05882352941176470588235294117647058823	0.7698628289009755888178267241432171742823	69
865	05-NOV-12	Steve Novak	0.2066805845511482254697286012526096033403	0	-0.2066805845511482254697286012526096033403	46
864	05-NOV-12	Pablo Prigioni	0.0522193211488250652741514360313315926893	0	-0.0522193211488250652741514360313315926893	40
885	05-NOV-12	Marcin Gortat	1.47876868256953380184103731564881718301	2.66666666666666666666666666666666666667	1.18789798409713286482562935101784948366	62
884	05-NOV-12	Goran Dragić	0.2561264822134387351778656126482213438735	0	-0.2561264822134387351778656126482213438735	64
883	05-NOV-12	Michael Beasley	1.02079395085066162570888468809073724008	1.24137931034482758620689655172413793104	0.22058535949416596049801186363340069096	63
882	05-NOV-12	Luis Scola	0.4763948497854077253218884120171673819748	0	-0.4763948497854077253218884120171673819748	65
886	05-NOV-12	Jared Dudley	0.2796116504854368932038834951456310679612	0	-0.2796116504854368932038834951456310679612	48
888	05-NOV-12	Shannon Brown	0.3476968796433878157503714710252600297177	1.71428571428571428571428571428571428571	1.36658883464232646996391424326045425599	41
887	05-NOV-12	Markieff Morris	0.8062930186823992133726647000983284169132	2.76923076923076923076923076923076923077	1.96293775054837001739656606913244081386	42
